date_start,date_end,type,title,abstract,author,location,session,session_presentation,session_order,chair
2025-07-21 13:30:00,2025-07-21 17:00:00,single,Computational Social Science for Sustainability,"Humans face an existential challenge to transition to sustainable practices that do not exhaust available ecological, economic, and social capital. Computational social-cognitive models can be used to deduce the efficacy of potential training or educational interventions to promote sustainable practices. Tutorial attendees will learn to use the socmod library to create their own models of social learning and social influence to predict the relative success of different intervention strategies. Sustainability motivates this work, but the framework could be used to model related social and behavioral contexts.","Matthew A. Turner, James Holland Jones",TBA5,,,,
,,,,,,,,,,
2025-07-22 09:00:00,2025-07-22 09:45:00,keynote,Effect sizes and decisions,"Social scientists often aim to not only determine whether some effect exists, but to quantify it. This often requires much larger or otherwise much more informative studies. It also requires choices of how to quantify effects. What relationship do various such quantifications have to scientific knowledge and, of particular relevance in applied work, to decisions? Using some examples from our recent experiments and other prominent, recent studies, I highlight how some effect size measures are typically decision-irrelevant and do not facilitate gaining generalizable knowledge. I also examine how we can use relevance to decisions to help select quantities of interest in the context of interventions in networks.",Dean Eckles,Flygeln,,,,
2025-07-22 09:45:00,2025-07-22 10:30:00,keynote,Computational analysis of social and organizational systems,"The US National Academy in its decadal survey of the Social Sciences argued that today we are in an era of Networks+.  In other words, rarely do people use social network or network science techniques in isolation; rather, these are augmented with other computationally based techniques such as computational linguistics and machine learning.  In the area of social-cybersecurity, a field concerned with identifying, characterizing and mitigating online harms such as undue influence, disinformation, hate-speech and extremism, network science is frequently combined with various AI techniques to build more effective tools to support interventions, to improve imperial analysis, and to simulate behavior. A particular area of concern is influence, that is ""who is influencing whom on line, how and to what effect?"".  The BEND framework has been proposed as a way of systematically characterising such information operations, and it has been operationalized using network science + AI techniques in a way that enables the analyst in detecting, characterizing, mitigating, and assessing the impact of influence activities, those being influenced, and the influencer.  In this presentation the BEND framework and its operationalization using network science+AI  will be described.  Then the insights that can be drawn using this approach will be illustrated using data from various events around the world. The presentation with a call for future research and an itemization of limitations and gaps where new techniques and additional research are needed.",Kathleen Carly,Flygeln,,,,
2025-07-22 16:30:00,2025-07-22 17:15:00,keynote,Design-Based Supervised Learning: A General Framework for Using LLM Annotations and Other Predicted Variables in Downstream Analyses,TBA,Brandon Stewart,Flygeln,,,,
2025-07-22 17:15:00,2025-07-22 18:00:00,keynote,Arti-“fickle” Intelligence: Using LLMs as a Tool for Inference in the Political and Social Sciences,"Generative large language models (LLMs) are incredibly useful, versatile, and promising tools. However, they will be of most use to political and social science researchers when they are used in a way that advances understanding about real human behaviors and concerns. To promote the scientific use of LLMs, we suggest that researchers in the political and social sciences need to remain focused on the scientific goal of inference. To this end, we discuss the challenges and opportunities related to scientific inference with LLMs, using validation of model output as an illustrative case for discussion. We propose a set of guidelines related to establishing the failure and success of LLMs when completing particular tasks, and discuss how we can make inferences from these observations. We conclude with a discussion of how this refocus will improve the accumulation of shared scientific knowledge about these tools and their uses in the social sciences.",Lisa P. Argyle,Flygeln,,,,
2025-07-23 09:00:00,2025-07-23 09:45:00,keynote,Why Qualitative Research Needs Computational Social Science,"Computational methods are playing a larger role in qualitative social science, but often with the goal of scaling or automating qualitative inquiry. Scaling and automating approaches are rooted in quantitative traditions, which are focused on measurement, generalizability, and evaluation against fixed benchmarks. But qualitative research is grounded in a different logic. It aims to understand meaning, context, and how people experience the world differently depending on their social position. This talk argues that if we want to use computational methods for qualitative research, we need to develop them differently than the current approach. For example, while machine learning is often framed as a tool for classification, its strength in identifying emergent patterns in large amounts of qualitative data aligns with inductive and abductive reasoning long used in qualitative research. Evaluating classification algorithms against a pre-determined ""ground truth"" stunts their development for inductive/abductive exploration and qualitative logics. In this talk I will share examples of how computational tools can support qualitative goals—not by making qualitative work more quantitative, but by shifting how we build, evaluate, and use these tools. This includes recognizing multiple perspectives in the data, treating researchers as active interpreters, and developing criteria that reflect qualitative rather than quantitative values.",Laura Nelson,Flygeln,,,,
2025-07-23 16:30:00,2025-07-23 17:15:00,keynote,The Sociology of Interpretation: A Computational Approach,"Culture shapes how we make sense of the world. People occupying different cultural positions often interpret the same realities in different ways. Recent advances in computational linguistics now make it possible to systematically measure these divergent interpretations at scale. In this talk, I introduce the Categorization-Association model of interpretation—a framework for capturing shared interpretation as well as processes of interpretive coordination and divergence. Drawing on computational analyses across multiple cultural domains—from American politics to popular understandings of leisure, work, and artificial intelligence—I show how culture reveals a fractured or ""broken"" geometry of meaning. This work illustrates how computational methods can help deepen our sociological understanding of culture, while underscoring the importance of grounding computational social science in robust theory.",Amir Goldberg,Flygeln,,,,
2025-07-23 17:15:00,2025-07-23 18:00:00,keynote,Luck and success in millions of life courses,This talk probes the role luck and success in the life course. We ask whether when people get lucky the trajectory of their life success increasingly diverges from that of their unlucky counterpart. We study this question theoretically using basic models of positive feedback. Empirically we look at the lives of thousands of Americans tracked in panel survey data and millions of Swedes captured in register data. We focus on income as measure of success and study a host of different ways by which people might be lucky or unlucky at different stages of the life course. We use causal identification strategies to isolate pairs of egos and alteregos who led similarly lives before the event and then compare their life courses afterwards.,Arnout van de Rijt,Flygeln,,,,
2025-07-24 09:00:00,2025-07-24 09:45:00,keynote,Integrating explanation and prediction in computational social science,TBA,Duncan Watts,Flygeln,,,,
2025-07-24 16:30:00,2025-07-24 17:15:00,keynote,Urban policy and big data for public good,"Williams will explain how we can use data as a tool for empowerment rather than oppression, something Williams calls ""Data Action,"" which is also the title of her recent book. Data Action seeks to provide guidance for using data toward the benefit of society, learning from the ways we have used data unethically in the past and illustrating ways we can use it more ethically and creatively in the future. Williams will illustrate the seven Data Action principles through her diverse research projects spanning topics of Central American migration, popular transit in Africa, ghost cities in China, and translating New York City’s zoning text. Williams will also show her most recent work on People Powered AI: How to use Gen AI for Civic Engagement. ",Sarah Williams,Flygeln,,,,
,,,,,,,,,,
2025-07-21 07:30:00,2025-07-21 08:00:00,meta,Registration desk opens,,,TBA,,,,
2025-07-22 07:30:00,2025-07-22 08:00:00,meta,Registration desk opens,,,TBA,,,,
,,,,,,,,,,
2025-07-21 10:30:00,2025-07-21 11:00:00,meta,Coffee break,,,,,,,
2025-07-22 10:30:00,2025-07-22 11:00:00,meta,Coffee break,,,,,,,
2025-07-23 10:30:00,2025-07-23 11:00:00,meta,Coffee break,,,,,,,
2025-07-24 10:30:00,2025-07-24 11:00:00,meta,Coffee break,,,,,,,
2025-07-21 16:00:00,2025-07-21 16:30:00,meta,Coffee break,,,,,,,
2025-07-22 16:00:00,2025-07-22 16:30:00,meta,Coffee break,,,,,,,
2025-07-23 16:00:00,2025-07-23 16:30:00,meta,Coffee break,,,,,,,
2025-07-24 16:00:00,2025-07-24 16:30:00,meta,Coffee break,,,,,,,
,,,,,,,,,,
2025-07-21 12:30:00,2025-07-21 13:30:00,meta,Lunch,,,,,,,
2025-07-22 12:30:00,2025-07-22 13:30:00,meta,Lunch,,,,,,,
2025-07-23 12:30:00,2025-07-23 13:30:00,meta,Lunch,,,,,,,
2025-07-24 12:30:00,2025-07-24 13:30:00,meta,Lunch,,,,,,,
,,,,,,,,,,
2025-07-21 17:00:00,2025-07-21 20:00:00,special,Welcome reception,,IC2S2 Program Chairs,TBA,,,,
2025-07-22 19:00:00,2025-07-22 22:00:00,special,Conference dinner,,IC2S2 Program Chairs,TBA,,,,
,,,,,,,,,,
2025-07-22 08:45:00,2025-07-22 09:00:00,special,Opening remarks,,IC2S2 Program Chairs,TBA,,,,
2025-07-24 17:55:00,2025-07-24 18:00:00,special,Closing remarks,,IC2S2 Program Chairs,TBA,,,,
2025-07-24 17:15:00,2025-07-24 17:55:00,special,Town hall,,IC2S2 Program Chairs,TBA,,,,
